team,index,week,points_avg,wins_avg,playoffs,playoff_bye,winner,runner_up,third,wins_stdev,points_stdev,per_game_avg,per_game_stdev,per_game_fano,earnings,as_of
Rollin' with Mahomes,516.0,91.0,1518.6,8.068,0.8772,0.4816,0.3293,0.1814,0.174,1.558,75.3,116.8,22.6,0.194,335.26,2
DJ Chark do do dooo,503.0,91.0,1473.8,7.434,0.7649,0.3033,0.1963,0.1578,0.1496,1.634,81.5,113.4,24.6,0.217,219.34,2
The Big Heads,514.0,91.0,1454.5,7.854,0.8265,0.3633,0.195,0.1777,0.1714,1.656,59.9,111.9,18.9,0.169,226.45,2
69ers,479.0,91.0,1410.0,7.71,0.7711,0.3104,0.0998,0.1394,0.145,1.665,71.9,108.5,21.1,0.194,136.16,2
The Sofa Kings,510.0,91.0,1407.4,6.822,0.6021,0.167,0.0559,0.093,0.0961,1.686,68.2,108.3,22.3,0.206,82.23,2
Kiss'in Cousins,509.0,91.0,1357.4,6.861,0.5634,0.1534,0.0484,0.0837,0.0862,1.707,88.1,104.4,24.6,0.236,72.45,2
Football Cream,511.0,91.0,1349.0,6.019,0.3846,0.0581,0.0298,0.0491,0.0541,1.631,67.8,103.8,19.5,0.188,43.98,2
Sunday ShNoz,507.0,91.0,1300.9,5.972,0.3463,0.0572,0.0231,0.0433,0.0465,1.695,80.3,100.1,25.6,0.256,36.12,2
All About the D,487.0,91.0,1315.1,5.99,0.3495,0.052,0.0089,0.0321,0.0345,1.652,65.6,101.2,22.1,0.218,20.2,2
Crotch de Fuego,497.0,91.0,1243.0,5.714,0.2535,0.0319,0.0069,0.0209,0.0204,1.646,72.4,95.6,20.3,0.212,13.83,2
4Nette Finga Bangerz,468.0,91.0,1276.5,5.093,0.1715,0.0151,0.0039,0.0156,0.0164,1.626,68.5,98.2,20.2,0.205,9.44,2
Wankstas,505.0,91.0,1238.8,4.464,0.0894,0.0067,0.0027,0.006,0.0058,1.634,71.8,95.3,20.0,0.21,4.54,2
Rollin' with Mahomes,516.0,91.0,1484.3,7.92,0.8538,0.4782,0.2932,0.1665,0.1696,1.562,74.9,114.2,22.8,0.2,301.47,3
DJ Chark do do dooo,503.0,91.0,1400.3,6.626,0.5929,0.1615,0.1525,0.109,0.108,1.559,75.2,107.7,23.9,0.222,165.5,3
The Big Heads,514.0,91.0,1340.7,6.675,0.5456,0.143,0.1108,0.0948,0.0901,1.607,64.9,103.1,21.5,0.208,126.09,3
Kiss'in Cousins,509.0,91.0,1347.3,7.538,0.7122,0.2895,0.0897,0.1276,0.1264,1.64,84.6,103.6,24.3,0.235,122.68,3
Sunday ShNoz,507.0,91.0,1328.7,7.096,0.6261,0.1914,0.0884,0.1022,0.108,1.605,77.6,102.2,25.5,0.249,112.18,3
The Sofa Kings,510.0,91.0,1358.1,7.367,0.6998,0.2512,0.0852,0.1226,0.1129,1.624,58.7,104.5,21.1,0.202,116.23,3
